field                                                                   value                                          count
Country                                                                 Germany                                        12
Country                                                                 -                                              6
Country                                                                 Portugal                                       6
Country                                                                 Netherlands                                    5
Country                                                                 Switzerland                                    4
Country                                                                 Argentina                                      3
Region                                                                  Madrid, Comunidad de                           1234
Region                                                                  Andalucia                                      844
Region                                                                  Valenciana, Comunidad                          668
Region                                                                  Catalunya                                      635
Region                                                                  Castilla y Leon                                243
Region                                                                  Galicia                                        213
Region                                                                  Canarias                                       188
Region                                                                  Aragon                                         177
Region                                                                  Pais Vasco                                     170
Region                                                                  Castilla-La Mancha                             162
City                                                                    Madrid                                         1213
City                                                                    Barcelona                                      487
City                                                                    Valencia                                       369
City                                                                    Sevilla                                        183
City                                                                    Alicante                                       172
City                                                                    Zaragoza                                       150
City                                                                    Murcia                                         141
City                                                                    Malaga                                         116
City                                                                    Palma                                          93
City                                                                    Pontevedra                                     75
PrimaryHardwareType                                                     Desktop                                        5189
PrimaryHardwareType                                                     Mobile Phone                                   43
PrimaryHardwareType                                                     Tablet                                         26
PrimaryHardwareType                                                     (NULL)                                         1
PrimaryHardwareType                                                     Set Top Box                                    1
OSName                                                                  Windows 10                                     2824
OSName                                                                  Windows 7                                      1306
OSName                                                                  OS X                                           515
OSName                                                                  Windows 8.1                                    248
OSName                                                                  Windows XP                                     136
OSName                                                                  Linux                                          55
OSName                                                                  Windows Vista                                  53
OSName                                                                  Android                                        39
OSName                                                                  iOS                                            34
OSName                                                                  Windows 8                                      24
BrowserName                                                             Chrome                                         3589
BrowserName                                                             Firefox                                        803
BrowserName                                                             Edge                                           435
BrowserName                                                             Safari                                         302
BrowserName                                                             Opera                                          79
BrowserName                                                             Chrome Mobile                                  40
BrowserName                                                             (NULL)                                         3
BrowserName                                                             Chromium                                       2
BrowserName                                                             Samsung Browser                                2
BrowserName                                                             Opera Mobile                                   1
Recommendation                                                          0                                              1384
Recommendation                                                          10                                             771
Recommendation                                                          8                                              687
Recommendation                                                          9                                              661
Recommendation                                                          7                                              452
Recommendation                                                          5                                              370
Recommendation                                                          6                                              284
Recommendation                                                          2                                              180
Recommendation                                                          1                                              160
Recommendation                                                          3                                              157
pageName                                                                mi vodafone:mis productos:producto contratado  1192
pageName                                                                mi vodafone:datos personales:titular           855
pageName                                                                mi vodafone:avisos                             569
pageName                                                                mi vodafone:mis productos:tarifa:mi tarifa     563
pageName                                                                mi vodafone:datos personales:facturacion       535
pageName                                                                mi vodafone:mis productos:movil y sim:sim      312
pageName                                                                mi vodafone:mis productos:home                 306
pageName                                                                mi vodafone:mis facturas:abonos                179
pageName                                                                mi vodafone:mis facturas:estado de mis pagos   173
pageName                                                                mi vodafone:mis facturas:opciones              121
paginasenlavisita                                                       7                                              699
paginasenlavisita                                                       6                                              642
paginasenlavisita                                                       8                                              472
paginasenlavisita                                                       9                                              408
paginasenlavisita                                                       5                                              364
paginasenlavisita                                                       10                                             337
paginasenlavisita                                                       11                                             267
paginasenlavisita                                                       12                                             215
paginasenlavisita                                                       13                                             206
paginasenlavisita                                                       4                                              168
platform                                                                estandar                                       5256
platform                                                                -                                              3
platform                                                                responsive                                     1
VERBATIM                                                                True                                           5260
NPS                                                                     Detractor                                      2689
NPS                                                                     Promotor                                       1432
NPS                                                                     Neutro                                         1139
