field                                                                   type     sum            min                  max                                 min_length  max_length  mean                    stddev                median     mode                                           cardinality
recuperar clave:escribe tu mail                                         Integer  0              0                    0                                   1           1           0                       0                     0          0                                              1
recuperar clave:verificar email                                         Integer  0              0                    0                                   1           1           0                       0                     0          0                                              1
registrate en mi vodafone:elige tu clave                                Integer  0              0                    0                                   1           1           0                       0                     0          0                                              1
registrate en mi vodafone:error                                         Integer  0              0                    0                                   1           1           0                       0                     0          0                                              1
registrate en mi vodafone:identificate                                  Integer  0              0                    0                                   1           1           0                       0                     0          0                                              1
registrate en mi vodafone:perfil                                        Integer  0              0                    0                                   1           1           0                       0                     0          0                                              1
registrate en mi vodafone:revisa tu bandeja de entrada                  Integer  0              0                    0                                   1           1           0                       0                     0          0                                              1
registrate en mi vodafone:usuario y clave                               Integer  0              0                    0                                   1           1           0                       0                     0          0                                              1
registro:confirmacion                                                   Integer  0              0                    0                                   1           1           0                       0                     0          0                                              1
registro:elige tu usuario                                               Integer  0              0                    0                                   1           1           0                       0                     0          0                                              1
registro:popup numero ono                                               Integer  0              0                    0                                   1           1           0                       0                     0          0                                              1
registro:selecciona tu perfil                                           Integer  0              0                    0                                   1           1           0                       0                     0          0                                              1
registro:valida tus datos                                               Integer  0              0                    0                                   1           1           0                       0                     0          0                                              1
registro:valida tus datos mail registrado                               Integer  0              0                    0                                   1           1           0                       0                     0          0                                              1
resumen:nacional                                                        Integer  9              0                    1                                   1           1           0.0017110266159695814   0.0413291544056859    0          0                                              2
seguimiento de pedidos:detalle de factura                               Integer  2              0                    1                                   1           1           0.0003802281368821305   0.01949573192896463   0          0                                              2
seguimiento de pedidos:mis productos                                    Integer  29             0                    1                                   1           1           0.005513307984790878    0.07404668405712536   0          0                                              2
seguimiento de pedidos:pedidos completados                              Integer  121            0                    1                                   1           1           0.023003802281368838    0.1499154006830808    0          0                                              2
seguimiento de pedidos:pedidos en curso                                 Integer  523            0                    1                                   1           1           0.09942965779467673     0.29923803392201065   0          0                                              2
seguimiento de pedidos:resumen                                          Integer  2              0                    1                                   1           1           0.0003802281368821305   0.01949573192896463   0          0                                              2
servicios antiguos ono:mis productos                                    Integer  1              0                    1                                   1           1           0.00019011406844106457  0.01378687510214136   0          0                                              2
servicios antiguos ono:modificar clave                                  Integer  57             0                    1                                   1           1           0.010836501901140667    0.10353295189304364   0          0                                              2
solucion de incidencias:averias                                         Integer  0              0                    0                                   1           1           0                       0                     0          0                                              1
subsection 1 (prop1):subsection 2 (prop2)                               Integer  0              0                    0                                   1           1           0                       0                     0          0                                              1
super wifi:contratacion                                                 Integer  12             0                    1                                   1           1           0.0022813688212927814   0.047709162407172975  0          0                                              2
te ayudamos:activar wifi                                                Integer  2              0                    1                                   1           1           0.00038022813688212904  0.019495731928964668  0          0                                              2
te ayudamos:detalle de factura                                          Integer  3              0                    1                                   1           1           0.0005703422053231943   0.02387502701761865   0          0                                              2
te ayudamos:ko                                                          Integer  144            0                    1                                   1           1           0.027376425855513333    0.16317768586081538   0          0                                              2
te ayudamos:mis productos                                               Integer  24             0                    1                                   1           1           0.004562737642585552    0.0673937613417629    0          0                                              2
te ayudamos:ok                                                          Integer  1              0                    1                                   1           1           0.00019011406844106463  0.013786875102141365  0          0                                              2
